id	species	pol
463	chi	Liphantus_sp
464	chi	Liphantus_sp
465	chi	Liphantus_sp
466	chi	Liphantus_sp
467	chi	Liphantus_sp
468	chi	Liphantus_sp
469	chi	Liphantus_sp
470	chi	Liphantus_sp
471	chi	Liphantus_sp
472	chi	Liphantus_sp
473	chi	Liphantus_sp
474	chi	Liphantus_sp
475	chi	Liphantus_sp
476	chi	Liphantus_sp
477	chi	Liphantus_sp
478	chi	Liphantus_sp
479	chi	Liphantus_sp
480	chi	Liphantus_sp
481	chi	Liphantus_sp
482	chi	Liphantus_sp
483	chi	Liphantus_sp
484	chi	Liphantus_sp
485	chi	Liphantus_sp
486	lit	Patagona_gigas
487	lit	Patagona_gigas
488	lit	Patagona_gigas
489	lit	Patagona_gigas
490	lit	Patagona_gigas
491	lit	Patagona_gigas
492	lit	Patagona_gigas
493	lit	Patagona_gigas
494	lit	Patagona_gigas
495	lit	Patagona_gigas
496	lit	Patagona_gigas
497	lit	Patagona_gigas
498	mut	Trichothurgus_dubius
499	mut	Trichothurgus_dubius
500	chi	Trichothurgus_dubius
501	chi	Trichothurgus_dubius
502	chi	Xenochilicola_diminuta
